Song,Nonprog Probability,Prog Probability,True Label
Playboi_Carti_Rockstar_Made.mp3,1,2.92E-18,Nonprog
04 - Ayasofya.mp3,0.999927312,7.27E-05,Nonprog
05-shock_the_monkey_320_lame_cbr.mp3,1,8.66E-19,Nonprog
06 - Cruel Summer.mp3,1,1.82E-34,Nonprog
02 End Game (feat. Ed Sheeran & Future).mp3,1,1.41E-65,Nonprog
07 - You Really Got Me.mp3,0.999949803,5.02E-05,Nonprog
2015_Rihanna_FourFiveSeconds.mp3,1,1.58E-19,Nonprog
07_The_Night_Nights_in_White_Satin.mp3,2.67E-11,1,Prog
01-blueprint_320_lame_cbr.mp3,1,4.76E-15,Nonprog
01-Janitor Of Lunacy.mp3,1,1.07E-11,Nonprog
2011_Adele_Rolling_In_The_Deep.mp3,1,9.10E-40,Nonprog
2018_Drake_God's_Plan.mp3,1,1.03E-13,Nonprog
Peach_Pit_Almighty_Aphrodite.mp3,0.992567324,0.007432676,Nonprog
Serge_Prokofiev_1.mp3,1,6.67E-20,Nonprog
Salif Keita - Cono.mp3,1,2.95E-13,Nonprog
Kabir_Singh_Bekhayali.mp3,1,1.77E-27,Nonprog
05 - Go to the West - Meeting in Menggu Tents - Be Together - Sister Liu.mp3,1,3.49E-10,Nonprog
03. Ten-Day Interval.mp3,0.99999997,2.96E-08,Nonprog
Kansas_08_Magnum_Opus.mp3,2.30E-34,1,Prog
Khalil_Fong_Love_in_this_world.mp3,1,3.14E-18,Nonprog
09_Jewel Of The Summertime.mp3,0.999997869,2.13E-06,Nonprog
23-The-Weeknd---I-Feel-It-Coming-(Feat-Daft-Punk).mp3,1,2.52E-54,Nonprog
04-The Rip.mp3,1,2.04E-11,Nonprog
08 - Anarchy In The U.K.mp3,0.993637922,0.006362078,Nonprog
05-lana_del_rey-doin_time.mp3,1,8.92E-12,Nonprog
Russ Conway - Pepe.mp3,0.999999884,1.16E-07,Nonprog
Anu_Orta_Veniya.mp3,1,7.20E-25,Nonprog
2022_Kendrick_Lamar_Beth_Gibbons_Mother_I_Sober.mp3,1,1.45E-31,Nonprog
10 All Is Full Of Love.mp3,0.883707472,0.116292528,Nonprog
05 - Modern Love (2002 Remastered Version).mp3,1,7.65E-24,Nonprog
Ed-Sheeran---Shape-of-You.mp3,1,1.75E-37,Nonprog
2023_Morgan_Wallen_Last_Night.mp3,1,2.51E-10,Nonprog
2017_Migos_Bad_&_Boujee.mp3,1,3.92E-31,Nonprog
1989_Milli_Vanilli_Girl_You_Know_It's_True.mp3,1,1.20E-21,Nonprog
Frances the Mute-The Mars Volta-05-Cassandra Geminni 1.mp3,2.76E-07,0.999999724,Prog
06 Savana Dance.mp3,1,4.18E-59,Nonprog
Pink_Sweat_Icy.mp3,1,9.42E-26,Nonprog
1947_Francis_Craig_and_His_Orchestra_Near_You.mp3,0.999999924,7.58E-08,Nonprog
1990_Michael_Bolton_How_Am_I_Supposed_To_Live_Without_You.mp3,0.000395774,0.999604226,Nonprog
01. Vert.mp3,7.38E-07,0.999999262,Prog
01 - Upside Down.mp3,1,1.94E-22,Nonprog
The Neighbourhood - Wiped Out.mp3,1,4.06E-32,Nonprog
20 - They Can't Take That Away from Me (Remastered).mp3,0.003668876,0.996331124,Nonprog
02-blondie-call_me-rns.mp3,0.999999991,8.73E-09,Nonprog
11 - Your Lucky Day In Hell.mp3,1,2.26E-30,Nonprog
Christine_and_the_Queens_People_Ive_Been_Sad.mp3,1,7.62E-29,Nonprog
C-Pop_Hits_1.mp3,1,3.47E-13,Nonprog
1973_Diana_Ross_Touch_Me_In_The_Morning.mp3,0.999558679,0.000441321,Nonprog
"13 - So Long, Farewell.mp3",0.500292856,0.499707144,Nonprog
24_Billy_Vaughan_Orange_Blossom_Special.mp3,0.900361691,0.099638309,Nonprog
04-deacon_blues_320_lame_cbr.mp3,1,1.59E-36,Nonprog
15. Happier Than Ever.mp3,1,7.70E-12,Nonprog
2013_Bruno_Mars_Locked_Out_Of_Heaven.mp3,0.999999891,1.09E-07,Nonprog
Brockhampton_Buzzcut_feat_Danny_Brown.mp3,1,4.72E-45,Nonprog
05 we're drowning in it.mp3,0.916729853,0.083270147,Nonprog
Edgar_Winter_Frankenstein.mp3,0.423660223,0.576339777,Nonprog
1946_Perry_Como_Prisoner_of_Love.mp3,0.999999858,1.42E-07,Nonprog
12-animals_as_leaders-song_of_solomon.mp3,4.63E-07,0.999999537,Prog
1994_Ace_Of_Base_All_That_She_Wants.mp3,1,1.66E-33,Nonprog
1-01 Eruption.mp3,0.477025486,0.522974514,Nonprog
05-bangles-hazy_shade_of_winter.mp3,0.999998381,1.62E-06,Nonprog
03 - Angel of Music.mp3,0.858285875,0.141714125,Nonprog
Russian_2.mp3,0.000931602,0.999068398,Nonprog
06 - Disarm.mp3,0.390384184,0.609615816,Nonprog
Lorde-Green-Light.mp3,1,1.19E-20,Nonprog
02 - Woman In Love (Album Version).mp3,1,1.80E-16,Nonprog
1993_Snap_Rhythm_Is_A_Dancer.mp3,1,3.04E-58,Nonprog
1969_Neil_Diamond_Sweet_Caroline.mp3,0.999999903,9.66E-08,Nonprog
01. Folklore.mp3,0.00889393,0.99110607,Prog
1987_Heart_Alone.mp3,0.999667193,0.000332807,Nonprog
01 - Tiempo Al Tiempo.mp3,0.979012899,0.020987101,Nonprog
1957_Harry_Belafonte_Banana_Boat_Song.mp3,1,1.26E-22,Nonprog
1942_Kay_Kyser_Praise_the_Lord_and_Pass_the_Ammunition.mp3,0.01222187,0.98777813,Nonprog
11 Bohemian Rhapsody.mp3,5.07E-22,1,Prog
01-genesis-dancing_with_the_moonlit_knight.mp3,0.999905364,9.46E-05,Prog
1955_Bill_Haley_And_His_Comets_Rock_Around_The_Clock.mp3,1,1.11E-18,Nonprog
2009_Beyonce_Single_Ladies_Put_A_Ring_On_It.mp3,1,1.03E-33,Nonprog
1959_Johnny_Horton_The_Battle_Of_New_Orleans.mp3,0.999938788,6.12E-05,Nonprog
1950_Nat_King_Cole_Mona_Lisa.mp3,1.46E-05,0.999985372,Nonprog
2008_Alicia_Keys_No_One.mp3,1,2.31E-17,Nonprog
www.NewAlbumReleases.net_14 - Hyyerr (Feat. Chip Tha Ripper).mp3,1,1.03E-50,Nonprog
101-led_zeppelin-immigrant_song.mp3,0.011097642,0.988902358,Nonprog
1968_Steppenwolf_Born_To_Be_Wild.mp3,0.000292899,0.999707101,Nonprog
04---Relax---Frankie-Goes-To-Hollywood.mp3,1,7.31E-27,Nonprog
2007_Fergie_Big_Girls_Don't_Cry.mp3,1,2.40E-17,Nonprog
06 - Sigur Rós - Sæglópur.mp3,1,2.15E-12,Nonprog
1949_Vaughan_Monroe_Riders_In_The_Sky.mp3,1,2.65E-10,Nonprog
06 - Janelle Monae - Cold War.mp3,0.99104162,0.00895838,Nonprog
01-We're An American Band.mp3,1,2.92E-10,Nonprog
Aphex Twin - Avril 14th.mp3,0.992992669,0.007007331,Nonprog
07. Black Hole Sun.mp3,0.924255923,0.075744077,Nonprog
Emerson_Lake_Palmer_Peter_Gunn.mp3,2.97E-05,0.999970297,Prog
27.-The-Chainsmokers---Paris.mp3,0.999999919,8.15E-08,Nonprog
05 Homewrecker.mp3,0.998528165,0.001471835,Nonprog
02 - Burnin' For You.mp3,0.999470722,0.000529278,Nonprog
Lil Nas X - Old Town Road (feat. Billy Ray Cyrus).mp3,0.999999867,1.33E-07,Nonprog
01 Peaches En Regalia.mp3,0.250192897,0.749807103,Prog
01_Pulcinella_1st_scene_Overture.mp3,0.198147054,0.801852946,Nonprog
06-alone_again_or_320_lame_cbr.mp3,1,1.62E-12,Nonprog
